City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
137,Kavaratti,IN,10.5669,72.642,82.76,51,99,3.91,overcast clouds
138,Korla,CN,41.7597,86.1469,33.19,55,37,2.1,scattered clouds
139,Anqing,CN,30.5092,117.0506,75.94,55,100,2.44,overcast clouds
140,Kichmengskiy Gorodok,RU,59.9816,45.7854,42.17,93,100,11.63,light rain
141,Bage,BR,-31.3314,-54.1069,67.78,73,0,10.36,clear sky
142,Sivas,TR,39.7916,37.0019,34.43,100,0,1.14,clear sky
143,Nanortalik,GL,60.1432,-45.2371,24.51,84,100,5.26,overcast clouds
144,Asau,RO,46.4333,26.4,38.32,82,5,3.49,clear sky
145,Kahului,US,20.8947,-156.47,84.22,55,0,20.71,clear sky
146,Kargil,IN,34.5667,76.1,20.12,52,7,2.73,clear sky
147,Bathsheba,BB,13.2167,-59.5167,81.21,78,20,12.66,few clouds
148,Vao,NC,-22.6667,167.4833,73.87,77,70,18.57,broken clouds
149,Port Elizabeth,ZA,-33.918,25.5701,62.89,88,0,2.3,clear sky
150,Mahebourg,MU,-20.4081,57.7,73.69,73,40,3.44,scattered clouds
151,Hamilton,US,39.1834,-84.5333,55.18,88,75,13.8,haze
152,Susanville,US,40.4163,-120.653,37.24,75,0,3.44,clear sky
153,Vostok,RU,46.4856,135.8833,33.82,81,95,4.79,light snow
154,Gunjur,GM,13.2019,-16.7339,75.27,94,0,5.75,clear sky
155,Tateyama,JP,34.9833,139.8667,68.09,71,8,6.87,clear sky
156,Upernavik,GL,72.7868,-56.1549,9.28,86,96,5.23,overcast clouds
157,Talnakh,RU,69.4865,88.3972,-16.49,98,30,3.78,scattered clouds
158,Guiratinga,BR,-16.3494,-53.7583,72.52,77,100,2.86,overcast clouds
159,Shimoda,JP,34.6667,138.95,64.76,73,42,10.11,scattered clouds
160,Burns Lake,CA,54.2331,-125.7533,24.22,93,100,1.28,overcast clouds
161,Ust-Tsilma,RU,65.441,52.1498,22.75,94,100,8.1,overcast clouds
162,Norman Wells,CA,65.282,-126.8329,8.64,92,20,3.44,few clouds
163,Iqaluit,CA,63.7506,-68.5145,4.73,84,75,2.3,light snow
164,Chama,CH,47.1821,8.4636,46.56,94,100,0.0,fog
165,Port Lincoln,AU,-34.7333,135.8667,65.37,83,99,17.09,moderate rain
166,Olafsvik,IS,64.8945,-23.7142,41.67,91,100,12.68,overcast clouds
167,Faya,SA,18.3851,42.4509,53.71,77,2,0.81,clear sky
168,Castro,BR,-24.7911,-50.0119,55.62,98,87,4.72,overcast clouds
169,Los Llanos De Aridane,ES,28.6585,-17.9182,64.15,53,0,10.36,clear sky
170,Meulaboh,ID,4.1363,96.1285,75.7,89,100,1.68,light rain
171,Tucurui,BR,-3.7661,-49.6725,82.09,66,100,4.54,overcast clouds
172,Severo-Kurilsk,RU,50.6789,156.125,35.42,64,98,26.62,overcast clouds
173,Grindavik,IS,63.8424,-22.4338,40.95,100,75,10.36,broken clouds
174,Maniitsoq,GL,65.4167,-52.9,22.05,69,100,11.36,overcast clouds
175,Magomeni,TZ,-6.8,39.25,77.38,88,40,5.75,scattered clouds
176,East London,ZA,-33.0153,27.9116,70.81,89,70,15.37,broken clouds
177,Bayeux,BR,-7.125,-34.9322,79.43,78,0,5.75,clear sky
178,Caiaponia,BR,-16.9567,-51.8103,68.43,82,100,6.13,overcast clouds
179,Yinchuan,CN,38.4681,106.2731,39.47,58,100,3.87,overcast clouds
180,Rutul,RU,41.5357,47.4239,32.31,85,6,4.18,clear sky
181,Caraballeda,VE,10.6112,-66.8522,82.36,83,99,5.01,overcast clouds
182,Georgetown,MY,5.4112,100.3354,78.73,91,20,3.44,few clouds
183,Kuytun,RU,54.3419,101.5036,20.95,70,85,3.42,overcast clouds
184,Tevriz,RU,57.509,72.4042,32.07,98,100,6.6,light snow
185,Ahipara,NZ,-35.1667,173.1667,67.64,73,7,11.39,clear sky
186,Shumyachi,RU,53.8583,32.4242,45.18,93,100,12.24,overcast clouds
187,Moundou,TD,8.5667,16.0833,74.3,44,0,3.15,clear sky
188,Cherskiy,RU,68.75,161.3,-25.47,100,98,0.96,overcast clouds
189,Arilje,RS,43.7531,20.0956,43.16,91,93,2.39,overcast clouds
190,Bom Jesus Da Lapa,BR,-13.255,-43.4181,70.61,87,100,5.84,overcast clouds
191,New Norfolk,AU,-42.7826,147.0587,59.92,50,86,1.99,overcast clouds
192,Kaeo,NZ,-35.1,173.7833,69.19,66,42,11.52,scattered clouds
193,Deputatskiy,RU,69.3,139.9,-11.45,98,99,2.55,overcast clouds
194,Nishihara,JP,26.1842,127.7558,79.88,89,40,18.41,scattered clouds
195,Maragogi,BR,-9.0122,-35.2225,77.11,85,0,7.0,clear sky
196,Shingu,JP,33.7333,135.9833,68.4,68,0,6.96,clear sky
197,Christchurch,NZ,-43.5333,172.6333,79.48,59,13,11.5,few clouds
198,Takoradi,GH,4.8845,-1.7554,77.32,85,26,4.18,scattered clouds
